date,hawkish_dovish_score,uncertainty,forward_guidance_strength,topic_inflation,topic_growth,topic_financial_stability,topic_labor_market,topic_international,stocks_diffusion_index,bonds_diffusion_index,currency_diffusion_index,speech_count
2021-01-21,-70.0,70.0,80.0,65.0,85.0,35.0,25.0,30.0,100.0,0.0,0.0,1
2021-01-22,-70.0,70.0,80.0,65.0,85.0,35.0,25.0,30.0,100.0,0.0,0.0,0
2021-01-23,-70.0,70.0,80.0,65.0,85.0,35.0,25.0,30.0,100.0,0.0,0.0,0
2021-01-24,-70.0,70.0,80.0,65.0,85.0,35.0,25.0,30.0,100.0,0.0,0.0,0
2021-01-25,-28.333333333333332,65.0,33.333333333333336,31.666666666666668,46.666666666666664,56.666666666666664,8.333333333333334,18.333333333333332,83.33333333333333,16.666666666666664,16.666666666666664,3
2021-01-26,-28.333333333333332,65.0,33.333333333333336,31.666666666666668,46.666666666666664,56.666666666666664,8.333333333333334,18.333333333333332,83.33333333333333,16.666666666666664,16.666666666666664,0
2021-01-27,-28.333333333333332,65.0,33.333333333333336,31.666666666666668,46.666666666666664,56.666666666666664,8.333333333333334,18.333333333333332,83.33333333333333,16.666666666666664,16.666666666666664,0
2021-01-28,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,1
2021-01-29,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,0
2021-01-30,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,0
2021-01-31,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,0
2021-02-01,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,0
2021-02-02,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,0
2021-02-03,10.0,60.0,55.0,80.0,70.0,25.0,40.0,20.0,0.0,100.0,100.0,1
2021-02-04,10.0,60.0,55.0,80.0,70.0,25.0,40.0,20.0,0.0,100.0,100.0,0
2021-02-05,10.0,60.0,55.0,80.0,70.0,25.0,40.0,20.0,0.0,100.0,100.0,0
2021-02-06,10.0,60.0,55.0,80.0,70.0,25.0,40.0,20.0,0.0,100.0,100.0,0
2021-02-07,10.0,65.0,65.0,80.0,65.0,10.0,5.0,15.0,50.0,100.0,100.0,1
2021-02-08,-65.0,65.0,55.0,55.0,80.0,60.0,25.0,20.0,100.0,0.0,0.0,1
2021-02-09,-65.0,65.0,55.0,55.0,80.0,60.0,25.0,20.0,100.0,0.0,0.0,0
2021-02-10,0.0,65.0,20.0,5.0,10.0,80.0,0.0,50.0,50.0,50.0,50.0,1
2021-02-11,0.0,65.0,20.0,5.0,10.0,80.0,0.0,50.0,50.0,50.0,50.0,0
2021-02-12,0.0,65.0,20.0,5.0,10.0,80.0,0.0,50.0,50.0,50.0,50.0,0
2021-02-13,0.0,65.0,20.0,5.0,10.0,80.0,0.0,50.0,50.0,50.0,50.0,0
2021-02-14,-5.0,45.0,35.0,40.0,35.0,17.5,2.5,22.5,75.0,25.0,25.0,2
2021-02-15,-5.0,45.0,35.0,40.0,35.0,17.5,2.5,22.5,75.0,25.0,25.0,0
2021-02-16,-5.0,45.0,35.0,40.0,35.0,17.5,2.5,22.5,75.0,25.0,25.0,0
