date,hawkish_dovish_score,uncertainty,forward_guidance_strength,topic_inflation,topic_growth,topic_financial_stability,topic_labor_market,topic_international,stocks_diffusion_index,bonds_diffusion_index,currency_diffusion_index,speech_count
2021-01-21,-70.0,70.0,80.0,65.0,85.0,35.0,25.0,30.0,100.0,0.0,0.0,1
2021-01-25,-28.333333333333332,65.0,33.333333333333336,31.666666666666668,46.666666666666664,56.666666666666664,8.333333333333334,18.333333333333332,83.33333333333333,16.666666666666664,16.666666666666664,3
2021-01-28,-65.0,55.0,70.0,45.0,70.0,90.0,25.0,20.0,100.0,0.0,0.0,1
2021-02-03,10.0,60.0,55.0,80.0,70.0,25.0,40.0,20.0,0.0,100.0,100.0,1
2021-02-07,10.0,65.0,65.0,80.0,65.0,10.0,5.0,15.0,50.0,100.0,100.0,1
2021-02-08,-65.0,65.0,55.0,55.0,80.0,60.0,25.0,20.0,100.0,0.0,0.0,1
2021-02-10,0.0,65.0,20.0,5.0,10.0,80.0,0.0,50.0,50.0,50.0,50.0,1
2021-02-14,-5.0,45.0,35.0,40.0,35.0,17.5,2.5,22.5,75.0,25.0,25.0,2
2021-02-22,-60.0,65.0,55.0,5.0,70.0,40.0,30.0,20.0,100.0,0.0,0.0,1
2021-02-25,-75.0,60.0,75.0,65.0,80.0,70.0,20.0,15.0,100.0,0.0,0.0,1
2021-02-26,-40.0,60.0,55.0,65.0,80.0,55.0,35.0,25.0,100.0,0.0,0.0,1
2021-03-01,-35.0,52.5,37.5,2.5,47.5,75.0,22.5,10.0,100.0,0.0,25.0,2
2021-03-02,-80.0,65.0,75.0,80.0,90.0,40.0,40.0,35.0,100.0,0.0,0.0,1
2021-03-03,0.0,47.5,15.0,7.5,12.5,62.5,0.0,32.5,50.0,50.0,50.0,2
2021-03-11,-70.0,65.0,80.0,70.0,85.0,60.0,25.0,30.0,100.0,0.0,0.0,1
2021-03-18,-35.0,51.666666666666664,48.333333333333336,45.0,50.0,61.666666666666664,5.0,15.0,83.33333333333333,16.666666666666664,16.666666666666664,3
2021-03-25,-70.0,70.0,80.0,65.0,80.0,55.0,10.0,25.0,100.0,0.0,0.0,1
2021-03-27,-65.0,65.0,75.0,35.0,80.0,60.0,30.0,45.0,100.0,0.0,0.0,1
2021-04-08,-65.0,65.0,70.0,55.0,80.0,65.0,10.0,70.0,100.0,0.0,0.0,1
2021-04-14,-32.5,62.5,47.5,27.5,42.5,50.0,10.0,25.0,75.0,25.0,25.0,2
2021-04-22,-65.0,60.0,80.0,65.0,80.0,45.0,25.0,35.0,100.0,0.0,0.0,1
2021-04-26,-37.5,57.5,35.0,37.5,47.5,40.0,42.5,80.0,75.0,25.0,25.0,2
2021-04-29,0.0,40.0,10.0,0.0,10.0,80.0,0.0,40.0,50.0,50.0,50.0,1
2021-05-06,0.0,40.0,0.0,0.0,40.0,35.0,0.0,30.0,50.0,50.0,50.0,1
2021-05-19,0.0,40.0,10.0,0.0,5.0,10.0,0.0,25.0,50.0,50.0,50.0,1
2021-05-27,-10.0,57.5,5.0,22.5,30.0,65.0,10.0,15.0,75.0,25.0,25.0,2
2021-06-02,-40.0,35.0,45.0,25.0,60.0,55.0,20.0,15.0,100.0,0.0,0.0,1
2021-06-03,0.0,60.0,5.0,0.0,0.0,80.0,0.0,40.0,50.0,50.0,50.0,1
2021-06-10,-70.0,55.0,80.0,70.0,85.0,40.0,10.0,30.0,100.0,0.0,0.0,1
2021-06-14,0.0,55.0,20.0,10.0,10.0,60.0,0.0,15.0,50.0,50.0,50.0,1
2021-06-15,0.0,40.0,20.0,0.0,5.0,10.0,0.0,5.0,50.0,50.0,50.0,1
2021-06-21,-65.0,45.0,65.0,55.0,80.0,35.0,5.0,25.0,100.0,0.0,0.0,1
2021-06-28,-45.0,55.0,40.0,52.5,75.0,57.5,27.5,25.0,100.0,0.0,25.0,2
2021-06-29,0.0,40.0,0.0,0.0,40.0,30.0,10.0,20.0,50.0,50.0,50.0,1
2021-06-30,70.0,55.0,45.0,85.0,60.0,75.0,20.0,35.0,0.0,100.0,100.0,1
2021-07-03,-60.0,70.0,65.0,95.0,75.0,10.0,60.0,40.0,100.0,0.0,0.0,1
2021-07-08,-40.0,40.0,65.0,80.0,20.0,35.0,20.0,5.0,100.0,0.0,0.0,1
2021-07-11,0.0,40.0,45.0,15.0,10.0,70.0,0.0,25.0,50.0,50.0,50.0,1
2021-07-14,-40.0,55.0,65.0,80.0,50.0,60.0,20.0,25.0,100.0,0.0,0.0,1
2021-07-22,-70.0,55.0,90.0,80.0,75.0,40.0,45.0,15.0,100.0,0.0,0.0,1
2021-09-13,-55.0,55.0,70.0,90.0,70.0,35.0,40.0,30.0,100.0,0.0,0.0,1
2021-09-20,-40.0,55.0,65.0,65.0,55.0,80.0,5.0,5.0,100.0,0.0,0.0,1
2021-09-24,0.0,65.0,35.0,35.0,40.0,25.0,0.0,10.0,50.0,50.0,50.0,1
2021-10-05,-20.0,55.0,25.0,25.0,60.0,5.0,0.0,30.0,100.0,0.0,0.0,1
2021-10-11,-40.0,55.0,70.0,75.0,35.0,25.0,30.0,20.0,100.0,0.0,0.0,1
2021-10-14,-40.0,55.0,70.0,65.0,70.0,60.0,5.0,55.0,100.0,0.0,0.0,1
2021-10-20,0.0,40.0,25.0,0.0,5.0,85.0,0.0,20.0,50.0,50.0,50.0,1
2021-11-02,0.0,40.0,5.0,0.0,0.0,40.0,0.0,30.0,50.0,50.0,50.0,1
2021-11-03,0.0,40.0,20.0,0.0,5.0,60.0,0.0,40.0,50.0,50.0,50.0,1
2021-11-08,-70.0,55.0,80.0,95.0,60.0,20.0,45.0,35.0,100.0,0.0,0.0,1
2021-11-15,-10.0,60.0,20.0,55.0,60.0,90.0,25.0,15.0,100.0,0.0,50.0,1
2021-12-08,0.0,40.0,5.0,5.0,5.0,95.0,0.0,10.0,50.0,50.0,50.0,1
2021-12-16,-10.0,60.0,80.0,85.0,70.0,35.0,45.0,15.0,100.0,0.0,50.0,1
2022-01-11,5.0,40.0,10.0,40.0,0.0,5.0,0.0,10.0,50.0,50.0,50.0,1
2022-01-14,-20.0,45.0,35.0,55.0,60.0,35.0,20.0,45.0,100.0,0.0,50.0,1
2022-02-18,0.0,40.0,20.0,0.0,5.0,70.0,0.0,10.0,50.0,50.0,50.0,1
2022-02-23,0.0,40.0,2.5,0.0,0.0,50.0,0.0,10.0,50.0,50.0,50.0,2
