date,hawkish_dovish_score,uncertainty,forward_guidance_strength,topic_inflation,topic_growth,topic_financial_stability,topic_labor_market,topic_international,stocks_diffusion_index,bonds_diffusion_index,currency_diffusion_index,speech_count
2021-01-08,-70.0,55.0,90.0,65.0,60.0,5.0,55.0,5.0,100.0,0.0,0.0,1
2021-01-09,-70.0,55.0,90.0,65.0,60.0,5.0,55.0,5.0,100.0,0.0,0.0,0
2021-01-10,-70.0,55.0,90.0,65.0,60.0,5.0,55.0,5.0,100.0,0.0,0.0,0
2021-01-11,-70.0,55.0,90.0,65.0,60.0,5.0,55.0,5.0,100.0,0.0,0.0,0
2021-01-12,-70.0,55.0,90.0,65.0,60.0,5.0,55.0,5.0,100.0,0.0,0.0,0
2021-01-13,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,2
2021-01-14,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-15,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-16,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-17,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-18,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-19,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-20,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-21,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-22,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-23,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-24,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-25,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-26,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-27,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-28,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-29,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-30,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-01-31,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-01,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-02,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-03,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-04,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-05,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-06,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-07,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-08,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-09,-75.0,55.0,85.0,72.5,50.0,7.5,77.5,7.5,100.0,0.0,0.0,0
2021-02-10,-80.0,55.0,80.0,35.0,70.0,5.0,95.0,5.0,100.0,0.0,0.0,1
2021-02-11,-80.0,55.0,80.0,35.0,70.0,5.0,95.0,5.0,100.0,0.0,0.0,0
2021-02-12,-80.0,55.0,80.0,35.0,70.0,5.0,95.0,5.0,100.0,0.0,0.0,0
2021-02-13,-80.0,55.0,80.0,35.0,70.0,5.0,95.0,5.0,100.0,0.0,0.0,0
2021-02-14,-80.0,55.0,80.0,35.0,70.0,5.0,95.0,5.0,100.0,0.0,0.0,0
2021-02-15,-80.0,55.0,80.0,35.0,70.0,5.0,95.0,5.0,100.0,0.0,0.0,0
2021-02-16,0.0,40.0,0.0,0.0,5.0,25.0,5.0,0.0,50.0,50.0,50.0,1
2021-02-17,0.0,40.0,0.0,0.0,5.0,25.0,5.0,0.0,50.0,50.0,50.0,0
2021-02-18,0.0,75.0,0.0,0.0,5.0,85.0,0.0,40.0,50.0,50.0,50.0,1
2021-02-19,0.0,75.0,0.0,0.0,5.0,85.0,0.0,40.0,50.0,50.0,50.0,0
2021-02-20,0.0,75.0,0.0,0.0,5.0,85.0,0.0,40.0,50.0,50.0,50.0,0
2021-02-21,-5.0,65.0,10.0,45.0,20.0,35.0,25.0,5.0,100.0,0.0,0.0,1
2021-02-22,0.0,60.0,0.0,0.0,20.0,10.0,40.0,0.0,50.0,50.0,50.0,1
2021-02-23,-70.0,65.0,80.0,55.0,70.0,20.0,85.0,5.0,100.0,0.0,0.0,1
2021-02-24,-70.0,55.0,70.0,45.0,60.0,5.0,100.0,0.0,100.0,0.0,0.0,1
2021-02-25,-30.0,60.0,42.5,22.5,45.0,47.5,47.5,15.0,75.0,25.0,25.0,2
2021-02-26,-30.0,60.0,42.5,22.5,45.0,47.5,47.5,15.0,75.0,25.0,25.0,0
2021-02-27,-30.0,60.0,42.5,22.5,45.0,47.5,47.5,15.0,75.0,25.0,25.0,0
2021-02-28,-30.0,60.0,42.5,22.5,45.0,47.5,47.5,15.0,75.0,25.0,25.0,0
2021-03-01,-5.0,55.0,5.0,10.0,20.0,95.0,5.0,40.0,100.0,50.0,50.0,1
2021-03-02,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,1
2021-03-03,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-04,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-05,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-06,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-07,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-08,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-09,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-10,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-11,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-12,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-13,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-14,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-15,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-16,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-17,-70.0,55.0,80.0,65.0,60.0,15.0,90.0,20.0,100.0,0.0,0.0,0
2021-03-18,0.0,40.0,5.0,0.0,5.0,10.0,0.0,80.0,50.0,50.0,50.0,1
2021-03-19,0.0,40.0,5.0,0.0,5.0,10.0,0.0,80.0,50.0,50.0,50.0,0
2021-03-20,0.0,40.0,5.0,0.0,5.0,10.0,0.0,80.0,50.0,50.0,50.0,0
2021-03-21,0.0,40.0,5.0,0.0,5.0,10.0,0.0,80.0,50.0,50.0,50.0,0
2021-03-22,-20.0,40.0,67.5,27.5,40.0,65.0,37.5,15.0,75.0,25.0,25.0,2
2021-03-23,-38.333333333333336,58.333333333333336,43.333333333333336,23.333333333333332,45.0,48.333333333333336,48.333333333333336,16.666666666666668,83.33333333333333,16.666666666666664,16.666666666666664,3
2021-03-24,-38.333333333333336,58.333333333333336,43.333333333333336,23.333333333333332,45.0,48.333333333333336,48.333333333333336,16.666666666666668,83.33333333333333,16.666666666666664,16.666666666666664,0
2021-03-25,-65.0,35.0,85.0,70.0,75.0,5.0,80.0,25.0,100.0,0.0,0.0,1
2021-03-26,-65.0,35.0,85.0,70.0,75.0,5.0,80.0,25.0,100.0,0.0,0.0,0
2021-03-27,-65.0,35.0,85.0,70.0,75.0,5.0,80.0,25.0,100.0,0.0,0.0,0
2021-03-28,-65.0,35.0,85.0,70.0,75.0,5.0,80.0,25.0,100.0,0.0,0.0,0
2021-03-29,0.0,20.0,25.0,15.0,10.0,40.0,10.0,0.0,50.0,100.0,100.0,1
2021-03-30,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,1
2021-03-31,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-01,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-02,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-03,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-04,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-05,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-06,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-07,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-08,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-09,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-10,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-11,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-12,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-13,0.0,40.0,5.0,0.0,5.0,95.0,0.0,80.0,50.0,50.0,50.0,0
2021-04-14,-65.0,55.0,80.0,80.0,40.0,5.0,60.0,10.0,100.0,0.0,0.0,1
2021-04-15,-65.0,55.0,80.0,80.0,40.0,5.0,60.0,10.0,100.0,0.0,0.0,0
2021-04-16,-65.0,55.0,80.0,80.0,40.0,5.0,60.0,10.0,100.0,0.0,0.0,0
2021-04-17,-65.0,55.0,80.0,80.0,40.0,5.0,60.0,10.0,100.0,0.0,0.0,0
2021-04-18,-65.0,55.0,80.0,80.0,40.0,5.0,60.0,10.0,100.0,0.0,0.0,0
2021-04-19,-65.0,55.0,80.0,80.0,40.0,5.0,60.0,10.0,100.0,0.0,0.0,0
